freq,currency,bop_item,sector10,sectpart,stk_flow,partner,geo	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,AL	: 	-883.6 	-811.5 	-870.6 	-865.7 	-1089.2 	-1153.3 	-1166.2 	-1062.9 	-269.6 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,AT	7913.0 	5395.0 	9156.0 	4644.0 	3242.0 	9401.0 	12805.0 	7047.0 	-3862.0 	6345.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,BA	-1025.1 	-745.3 	-727.9 	-777.3 	-559.3 	-474.1 	-501.3 	-295.8 	-1022.9 	-591.6 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,BE	3109.0 	5764.0 	2372.0 	3108.0 	-4204.0 	593.0 	4112.0 	9276.0 	-7402.0 	-4100.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,BG	908.4 	7.8 	1476.1 	1657.4 	367.8 	1019.1 	274.2 	-768.4 	-2232.4 	838.6 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,CH	41751.0 	55598.8 	45340.9 	32328.6 	34321.2 	26702.7 	3324.4 	46201.5 	74122.8 	43764.9 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,CY	-699.5 	-48.3 	-751.3 	-1018.8 	-846.4 	-1290.0 	-2169.7 	-1378.5 	-1584.0 	-2966.4 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,CZ	295.9 	715.5 	3149.6 	2921.4 	859.4 	763.2 	3973.3 	-5124.9 	-13454.4 	978.2 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,DE	215933.0 	250087.0 	284661.0 	268729.0 	289187.0 	278477.0 	218030.0 	254580.0 	174506.0 	243122.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,DK	22323.5 	21657.1 	20012.3 	21554.6 	18980.3 	22973.3 	22557.8 	29960.3 	44571.3 	37020.2 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,EE	118.9 	309.9 	217.2 	409.6 	146.4 	572.5 	-703.7 	-1135.0 	-1419.1 	-663.3 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,EL	-1319.0 	-1438.0 	-3049.0 	-3407.0 	-5231.0 	-2725.0 	-10964.0 	-12271.0 	-21226.0 	-13931.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,ES	18490.0 	22246.0 	35333.0 	32685.0 	22756.0 	26690.0 	8906.0 	9550.0 	4814.0 	39772.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,FI	-2793.0 	-1909.0 	-4251.0 	-1472.0 	-3736.0 	-329.0 	1000.0 	823.0 	-6430.0 	-1510.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,FR	-19673.0 	-7156.0 	-11788.0 	-12531.0 	-16440.0 	14532.0 	-47595.0 	6942.0 	-31103.0 	-28110.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,HR	237.0 	1296.0 	1129.0 	1815.0 	734.0 	1504.0 	-507.0 	492.0 	-2160.0 	533.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,HU	818.0 	2375.1 	5095.5 	2234.8 	402.9 	-905.9 	-1217.4 	-6096.8 	-14215.1 	1540.5 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,IE	4138.0 	16712.0 	-3434.0 	3528.0 	14370.0 	-75369.0 	-27024.0 	54648.0 	45643.0 	41262.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,IS	595.4 	890.0 	1549.7 	914.1 	959.2 	1442.5 	212.8 	-570.1 	-564.2 	349.4 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,IT	28702.0 	20668.0 	41949.0 	42551.0 	44465.0 	56955.0 	62807.0 	38672.0 	-34925.0 	-301.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,LT	1309.3 	-938.1 	-391.2 	434.2 	163.8 	1849.4 	3622.4 	820.9 	-4114.0 	811.2 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,LU	2119.0 	3034.0 	4161.0 	3749.0 	5004.0 	5324.0 	6145.0 	7998.0 	5208.0 	4724.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,LV	-334.0 	-25.0 	436.0 	383.0 	-111.0 	-51.0 	888.0 	-1313.0 	-1974.0 	-1536.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,ME	-429.0 	-402.0 	-642.0 	-692.0 	-793.0 	-707.0 	-1091.0 	-457.0 	-766.0 	-791.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,MK	-30.5 	-158.9 	-252.5 	-78.3 	22.4 	-334.7 	-318.0 	-329.0 	-801.3 	55.6 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,MT	493.6 	269.8 	-59.8 	2372.7 	1824.9 	2611.8 	2300.2 	1563.8 	-137.9 	1315.5 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,NL	60138.0 	34111.0 	52689.0 	61038.0 	70816.0 	56761.0 	45593.0 	89312.0 	65738.0 	105203.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,NO	41339.8 	27986.2 	13425.2 	19530.6 	29457.8 	10561.3 	3745.6 	56456.5 	162820.2 	74968.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,PL	-11858.2 	-5691.5 	-4518.7 	-5504.8 	-9924.1 	-1430.7 	12616.9 	-7787.3 	-14881.4 	13485.5 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,PT	594.0 	905.0 	2648.0 	2901.0 	1542.0 	1673.0 	-1385.0 	-1436.0 	-4730.0 	1336.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,RO	-475.3 	-1046.9 	-3488.0 	-5955.4 	-9498.9 	-10898.2 	-11200.1 	-17424.1 	-26840.4 	-21492.6 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,RS	-1905.0 	-1529.0 	-1317.0 	-2049.0 	-2092.0 	-3273.0 	-2034.0 	-2296.0 	-4139.0 	-1811.0 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,SE	14279.1 	11736.3 	8647.8 	9809.2 	10352.0 	25313.1 	27916.7 	36014.3 	25875.2 	37746.8 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,SI	1985.6 	1584.5 	2114.1 	2895.6 	2959.9 	3105.4 	3586.0 	1951.1 	-636.9 	2858.3 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,SK	1331.1 	-1657.9 	-1187.2 	-1473.7 	-1474.2 	-3334.7 	-429.0 	-4924.9 	-10588.6 	-2070.8 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,TR	-24293.6 	-19238.0 	-20009.3 	-31098.1 	-11483.0 	13481.0 	-27404.9 	-5293.5 	-42975.9 	-37596.3 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,UK	-112977.7 	-132659.1 	-133104.9 	-88871.0 	-89026.2 	-77684.2 	: 	: 	: 	: 
A,MIO_EUR,CA,S1,S1,BAL,WRL_REST,XK	-275.9 	-512.1 	-499.9 	-348.6 	-508.8 	-399.5 	-472.2 	-694.6 	-917.0 	-738.1 
